,open_time,open,high,low,close,volume,close_time,rsi,rsi_over_80,rsi_under_20,stochRsi,stochRsi_K_value,stochRsi_D_value,stochRsi_over_80,stochRsi_under_20,stochRsi_K_cross_D_bearish,stochRsi_K_cross_D_bullish,stoch,stoch_D_value,stoch_over_80,stoch_under_20,stoch_K_cross_D_bearish,stoch_K_cross_D_bullish,sma_9_value,price_over_sma_9,price_under_sma_9,pSar_value,price_over_pSar,price_under_pSar,obv,mfi,bb_upper_band,bb_lowe_band,bb_in_20_percent_of_band_top,bb_in_20_percent_of_band_bottom,bb_price_cross_upper_band_bearish,bb_price_cross_lower_band_bullish,macd,macd_signal,cci,nearest_sr,upper_support,under_resistance,hidden_rsi_divergence,regular_rsi_divergence,hidden_stochRsi_divergence,regular_stochRsi_divergence,hidden_stoch_divergence,regular_stoch_divergence,hidden_obv_divergence,regular_obv_divergence,hidden_mfi_divergence,regular_mfi_divergence,hidden_macd_divergence,regular_macd_divergence,hidden_cci_divergence,regular_cci_divergence,lch_in_20_percent_of_band_top,lch_in_20_percent_of_band_bottom
8846,1664892000000,20098.56,20270.0,20035.29,20108.32,23960.79051,1664895599999,74.54263148431392,0,0,1.0,0.9216296342469814,0.8336044855777933,1,0,0,0,79.25583782396716,81.59612862085449,1,0,1,0,19968.745555555553,1,0,19723.680757345344,1,0,-324683.2016759988,83.26847005760207,20166.02404112921,19330.756958870792,1,0,0,0,181.09155498798646,152.120172830463,136.5493035437483,20101.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8847,1664895600000,20108.32,20126.66,20046.15,20099.7,13331.17722,1664899199999,73.7644156244877,0,0,0.951997766211049,0.9794672753869111,0.9075272858068278,1,0,0,0,78.14985886579433,82.99886859355694,1,0,0,0,19997.494444444445,1,0,19778.31268161081,1,0,-338014.3788959988,80.38038500856037,20209.219384987362,19343.393615012636,1,0,0,0,183.76786532910774,158.44971133019195,106.4793994728237,20099.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8848,1664899200000,20099.71,20116.18,19950.0,19992.69,17777.28321,1664902799999,64.72995108232269,0,0,0.29769281432204275,0.7498968601776973,0.8836645899371961,0,0,1,0,62.18224961815381,73.19598210263845,1,0,0,0,20000.236666666664,0,1,19827.48141344973,1,0,-355791.66210599884,72.96664975417647,20230.386010659433,19362.25298934057,0,0,0,0,175.23405872652074,161.8065808094577,74.18545071583623,19993.09,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
8849,1664902800000,19992.69,20040.4,19872.02,20025.79,16058.7771,1664906399999,66.11250871307011,0,0,0.3966443870738441,0.5487783225356453,0.759380819366751,0,0,0,0,65.89245810055878,68.74152219483567,1,0,0,0,20015.95888888889,1,0,19871.733272104757,1,0,-339732.88500599883,66.56392159848397,20249.97610534982,19389.869894650186,0,0,0,0,169.1915144227678,163.28356753211975,55.12571735740889,20023.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8850,1664906400000,20025.79,20170.0,20018.0,20126.97,13095.62203,1664909999999,69.98560378389521,0,0,0.6507024132538934,0.4483465382165934,0.5823405736433116,0,0,0,0,79.20591998139119,69.09354256670129,1,0,0,1,20036.92222222222,1,0,19872.02,1,0,-326637.2629759988,67.33946399291136,20276.93120117377,19423.709798826232,1,0,0,0,170.6005578950644,164.7469656047087,90.72160350991378,20126.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8851,1664910000000,20125.21,20272.98,20041.5,20220.09,15378.81273,1664913599999,73.0396603295184,0,0,0.846833781064496,0.6313935271307445,0.5428394626276606,1,0,0,1,92.16154131159698,79.086639797849,1,0,0,0,20065.704444444444,1,0,19872.02,1,0,-311258.4502459988,68.36831927125111,20322.65784150834,19437.08415849166,1,0,0,0,177.1887194999108,167.23531638374914,108.28176698799352,20204.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8852,1664913600000,20220.09,20475.0,20139.51,20326.4,20558.08849,1664917199999,76.03742036679475,0,0,1.0,0.8325120647727964,0.637417376706711,1,0,0,0,77.72113943028508,83.02953357442443,1,0,1,0,20108.748888888887,1,0,19920.1352,1,0,-290700.3617559988,68.9725569105543,20376.26774145381,19459.873258546195,1,0,0,0,188.81170970883613,171.55059504876655,148.3120634893272,20336.22,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
8853,1664917200000,20326.4,20402.55,20256.91,20287.47,7650.76884,1664920799999,72.84326611325905,0,0,0.7175182020682506,0.8547839943775822,0.772896528760374,0,0,0,0,71.8845577211396,80.58907948767391,1,0,0,0,20142.95111111111,1,0,19997.816272,1,0,-298351.1305959988,67.55686934533092,20401.093222800613,19513.251777199388,1,0,0,0,192.66081360803582,175.77263876062042,142.70854954604076,20284.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8854,1664920800000,20288.7,20332.14,20234.17,20299.6,8913.4404,1664924399999,73.22074107154651,0,0,0.7509009996501844,0.8228064005728116,0.8367008199077297,0,0,1,0,73.70314842578689,74.43628185907055,1,0,0,0,20165.225555555557,1,0,20064.621993920002,1,0,-289437.69019599876,60.60670963712428,20419.879736644438,19570.09926335557,1,0,0,0,194.4485638013357,179.5078237687635,122.87593179372669,20302.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8855,1664924400000,20300.66,20384.85,20270.62,20337.82,9935.72738,1664927999999,74.42691064944887,0,0,0.8575711614306569,0.7753301210496973,0.81764017200003,1,0,0,0,77.41707136389824,74.3349258369416,1,0,0,1,20190.725555555557,1,0,20122.0749147712,1,0,-279501.96281599876,67.02966981634609,20440.735454238715,19623.19854576128,1,0,0,0,196.68217362456198,182.94269373992321,126.78782005417207,20337.82,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0
